,failed_call_count,submitted_complaint,months_as_customer,billing_level,call_count,sms_count,plan_type,account_status,age,customer_value,has_churned
0,8,0,38,0,71,5,1,1,30,197.64,0
1,0,0,39,0,5,7,1,2,25,46.035,0
2,10,0,37,0,60,359,1,1,30,1536.52,0
3,10,0,38,0,66,1,1,1,15,240.02,0
4,3,0,38,0,58,2,1,1,15,145.805,0
5,11,0,38,1,82,32,1,1,30,282.28,0
6,4,0,38,0,39,285,1,1,30,1235.96,0
7,13,0,37,2,121,144,1,1,30,945.44,0
8,7,0,38,0,169,0,1,1,30,557.68,0
9,7,0,38,1,83,2,1,1,30,191.92,0
10,6,0,38,0,95,7,1,1,30,268.52,0
11,9,0,38,0,54,8,1,2,30,123.68,0
12,25,0,38,3,225,54,1,1,30,830.6,0
13,4,0,38,1,27,483,1,1,30,2056.88,0
14,9,0,37,0,182,150,1,1,25,1380.015,0
15,3,0,37,1,86,186,1,1,30,1007.44,0
16,0,0,37,0,14,0,1,2,25,40.005,1
17,2,0,38,0,14,13,1,2,30,80.96,0
18,0,0,37,0,0,0,1,2,25,0.0,1
19,3,0,37,0,127,384,1,1,25,2071.575,0
20,7,0,37,1,154,11,1,1,45,317.975,0
21,8,0,37,1,75,108,1,1,25,791.685,0
22,23,1,33,0,47,16,1,2,25,117.09,1
23,21,1,36,8,93,1,2,1,55,159.42,0
24,13,1,36,1,98,26,1,1,25,383.22,1
25,1,0,34,0,22,0,1,1,30,114.48,0
26,9,0,35,0,41,9,1,2,30,157.24,1
27,9,1,36,0,44,34,1,2,30,228.48,1
28,0,0,36,0,2,0,1,2,30,5.4,1
29,1,0,36,0,25,0,1,1,30,67.72,0
30,3,0,33,1,97,14,1,1,55,124.23,0
31,0,1,36,0,7,9,1,2,45,38.375,1
32,0,0,36,1,4,4,1,1,55,11.13,0
33,25,0,31,3,238,0,2,1,25,734.085,0
34,6,0,34,3,116,271,2,1,25,1538.145,0
35,2,0,36,0,82,2,1,1,25,180.0,0
36,3,0,35,0,44,38,1,2,30,220.36,0
37,6,0,36,0,53,175,1,1,25,914.985,0
38,4,0,27,1,36,193,2,1,25,929.295,0
39,4,0,26,0,39,30,1,1,45,115.175,0
40,11,0,27,0,25,10,1,2,25,77.625,0
41,0,0,26,0,10,21,1,2,45,73.375,1
42,10,0,25,0,32,19,1,1,25,142.065,0
43,2,0,25,0,61,8,1,1,30,163.44,0
44,2,0,18,0,26,28,1,1,25,203.445,0
45,16,0,17,1,141,85,2,1,25,676.53,0
46,12,0,15,0,171,73,1,1,45,410.1,0
47,8,0,16,3,45,31,2,1,30,239.92,0
48,2,0,9,1,40,215,1,1,30,1037.2,0
49,3,0,9,1,19,0,1,1,30,60.28,1
50,11,0,40,1,74,10,1,1,30,220.16,0
51,3,0,41,1,8,12,1,1,30,63.44,0
52,13,0,39,1,63,364,1,1,30,1559.04,0
53,13,0,40,1,69,6,1,1,15,270.985,0
54,6,0,40,1,61,7,1,1,25,144.63,0
55,14,0,40,2,85,37,2,1,30,304.8,0
56,7,0,40,1,42,290,1,1,30,1258.48,0
57,16,0,39,3,124,149,1,1,30,967.96,0
58,10,0,40,1,172,5,1,1,30,580.2,0
59,10,0,40,2,86,7,1,1,30,214.44,0
60,9,0,40,1,98,12,1,1,30,291.04,0
61,12,0,40,1,57,13,1,1,30,146.2,0
62,28,0,40,4,228,59,1,1,30,853.12,0
63,7,0,40,2,30,488,1,1,30,2079.4,0
64,12,0,39,1,185,155,1,1,25,1405.35,0
65,6,0,39,2,89,191,1,1,30,1029.96,0
66,3,0,39,1,17,5,1,1,25,65.34,0
67,5,0,40,1,17,18,1,1,30,103.48,0
68,3,1,39,1,3,5,1,1,25,25.335,1
69,6,0,39,1,130,389,1,1,30,1863.92,0
70,10,0,39,2,157,16,2,1,45,332.05,0
71,11,0,39,2,78,113,1,1,25,817.02,0
72,26,1,35,1,50,21,1,1,30,126.6,1
73,24,1,38,9,96,6,2,1,55,167.865,0
74,16,0,38,2,101,31,1,1,25,408.555,0
75,4,0,36,1,25,5,1,1,30,137.0,0
76,12,0,37,1,44,14,1,1,30,179.76,1
77,12,1,38,1,47,39,1,1,30,251.0,1
78,3,0,38,1,5,5,1,1,30,27.92,1
79,4,0,38,1,28,5,1,1,45,56.4,0
80,6,0,35,2,100,19,1,1,55,132.675,0
81,3,0,38,1,10,14,1,1,45,52.45,1
82,3,0,38,2,7,9,1,1,55,19.575,0
83,28,0,33,4,241,5,1,1,25,759.42,0
84,9,1,36,4,119,276,2,1,30,1389.76,0
85,5,0,38,1,85,7,1,1,30,182.52,0
86,6,0,37,1,47,43,1,1,30,242.88,0
87,9,0,38,1,56,180,1,1,25,940.32,0
88,7,0,29,2,39,198,2,1,30,848.56,0
89,7,0,28,1,42,35,1,1,45,129.25,0
90,14,0,29,1,28,15,1,1,30,91.52,0
91,3,0,28,1,13,26,1,1,45,87.45,0
92,13,0,27,1,35,24,1,1,25,167.4,0
93,5,0,27,1,64,13,1,1,30,185.96,0
94,5,0,20,1,29,33,1,1,25,228.78,0
95,19,0,19,2,144,90,2,1,25,701.865,0
96,15,0,17,1,174,78,1,1,55,254.505,0
97,11,0,18,4,48,36,1,1,30,262.44,0
98,5,0,11,2,43,220,1,1,30,1059.72,0
99,6,1,11,2,22,5,1,1,30,82.8,1
100,5,0,36,0,68,0,1,1,25,197.01,0
101,0,0,37,0,2,2,1,2,25,20.7,0
102,7,0,35,0,57,354,1,1,25,1703.25,0
103,7,0,36,0,63,0,1,1,15,231.055,0
104,0,0,36,0,55,0,1,1,15,131.34,0
105,8,0,36,0,79,27,1,1,30,259.76,0
106,1,0,36,0,36,280,1,1,30,1213.44,0
107,10,0,35,1,118,139,1,1,30,922.92,0
108,4,0,36,0,166,0,1,1,30,555.16,0
109,4,0,36,0,80,0,1,1,30,181.4,0
110,3,0,36,0,92,2,1,1,25,276.75,0
111,6,1,36,0,51,3,1,2,30,101.16,0
112,22,0,36,2,222,49,1,1,30,808.08,0
113,1,0,36,0,24,478,1,1,30,2034.36,0
114,6,0,35,0,179,145,1,1,25,1354.68,0
115,0,0,35,0,83,181,1,1,30,984.92,0
116,0,0,35,0,11,0,1,2,25,37.17,0
117,0,0,36,0,11,8,1,2,25,65.745,0
118,0,0,35,0,0,0,1,2,25,0.0,1
119,0,0,35,0,124,379,1,1,25,2046.24,0
120,4,0,35,0,151,6,1,1,30,486.24,0
121,5,0,35,0,72,103,1,1,25,766.35,0
122,20,0,31,0,44,11,1,2,25,91.755,1
123,18,0,34,7,90,0,1,1,45,261.625,0
124,10,0,34,0,95,21,1,1,25,357.885,1
125,0,0,32,0,19,0,1,1,30,111.96,0
126,6,0,33,0,38,4,1,2,25,151.56,1
127,6,1,34,0,41,29,1,2,30,205.96,1
128,0,1,34,0,0,0,1,2,30,0.0,1
129,0,0,34,0,22,0,1,1,30,65.2,0
130,0,0,31,0,94,9,1,1,45,192.975,0
131,0,0,34,0,4,4,1,2,45,24.3,1
132,0,0,34,0,0,0,1,1,55,0.0,0
133,22,0,29,2,235,0,1,1,25,731.25,0
134,3,0,32,2,113,266,2,1,25,1512.81,0
135,0,0,34,0,79,0,1,1,25,168.165,0
136,0,0,33,0,41,33,1,2,30,197.84,0
137,3,0,34,0,50,170,1,1,25,889.65,0
138,1,0,25,0,33,188,2,1,25,903.96,0
139,1,0,24,0,36,25,1,1,45,101.1,0
140,8,0,25,0,22,5,1,2,25,52.29,0
141,0,1,24,0,7,16,1,2,45,59.3,1
142,7,0,23,0,29,14,1,1,25,116.73,0
143,0,0,23,0,58,3,1,1,30,140.92,0
144,0,0,16,0,23,23,1,1,25,178.11,0
145,13,0,15,0,138,80,2,1,15,795.905,0
146,9,0,13,0,168,68,1,1,45,396.025,0
147,5,0,14,2,42,26,1,1,30,217.4,0
148,0,0,7,0,37,210,1,1,30,1014.68,0
149,0,0,7,0,16,0,1,1,30,57.76,1
150,9,0,42,1,73,15,1,1,30,240.92,0
151,1,1,43,0,7,17,1,2,30,84.2,1
152,11,0,41,1,62,369,1,1,30,1579.8,0
153,11,0,42,1,68,11,1,1,15,299.53,0
154,4,0,42,1,60,12,1,1,25,167.985,0
155,12,0,42,2,84,42,1,1,30,325.56,0
156,5,0,42,1,41,295,1,1,30,1279.24,0
157,14,0,41,3,123,154,1,1,30,988.72,0
158,8,0,42,1,171,10,1,1,30,600.96,0
159,8,0,42,2,85,12,1,1,30,235.2,0
160,7,0,42,1,97,17,1,1,30,311.8,0
161,10,0,42,0,56,18,1,2,30,166.96,0
162,26,0,42,4,227,64,2,1,30,873.88,0
163,5,0,42,2,29,493,1,1,30,2100.16,0
164,10,0,41,1,184,160,1,1,25,1428.705,0
165,4,0,41,2,88,196,1,1,30,1050.72,0
166,1,0,41,0,16,10,1,2,25,88.695,0
167,3,0,42,0,16,23,1,2,30,124.24,0
168,1,0,41,0,2,10,1,2,25,48.69,1
169,4,0,41,1,129,394,1,1,30,1884.68,0
170,8,0,41,2,156,21,1,1,45,345.025,0
171,9,0,41,2,77,118,1,1,25,840.375,0
172,24,1,37,0,49,26,1,2,30,147.36,1
173,22,1,40,9,95,11,1,1,55,175.65,0
174,14,0,40,2,100,36,1,1,25,431.91,1
175,2,0,38,1,24,10,1,1,30,157.76,0
176,10,0,39,0,43,19,1,2,30,200.52,1
177,10,1,40,0,46,44,1,2,30,271.76,1
178,1,0,40,0,4,10,1,2,30,48.68,1
179,2,0,40,1,27,10,1,1,45,69.375,0
180,4,0,37,2,99,24,1,1,55,140.46,0
181,1,1,40,0,9,19,1,2,45,65.425,1
182,1,0,40,2,6,14,1,1,55,27.36,0
183,26,0,35,4,240,10,1,1,25,782.775,0
184,7,1,38,4,118,281,2,1,25,1586.835,0
185,3,0,40,1,84,12,1,1,30,203.28,0
186,4,0,39,0,46,48,1,2,30,263.64,0
187,7,0,40,1,55,185,1,1,25,963.675,0
188,5,0,31,2,38,203,2,1,25,977.985,0
189,5,0,30,1,41,40,1,1,45,142.225,0
190,12,0,31,0,27,20,1,2,30,112.28,0
191,1,0,30,0,12,31,1,2,45,100.425,0
192,11,0,29,1,34,29,1,1,25,190.755,0
193,3,0,29,1,63,18,1,1,30,206.72,0
194,3,0,22,1,28,38,1,1,25,252.135,0
195,17,0,21,2,143,95,2,1,25,725.22,0
196,13,0,19,1,173,83,1,1,55,262.29,0
197,9,0,20,4,47,41,1,1,30,283.2,0
198,3,0,13,2,42,225,1,1,30,1080.48,0
199,4,0,13,2,21,10,1,1,30,103.56,1
200,7,0,34,0,69,0,1,1,25,196.155,0
201,0,0,35,0,0,0,1,2,25,0.0,0
202,9,0,33,0,58,349,1,1,25,1679.895,0
203,9,0,34,0,64,0,1,1,15,230.01,0
204,2,0,34,0,56,0,1,1,15,130.295,0
205,10,0,34,0,80,22,1,1,30,239.0,0
206,3,0,34,0,37,275,1,1,30,1192.68,0
207,12,0,33,1,119,134,1,1,30,902.16,0
208,6,0,34,0,167,0,1,1,30,554.4,0
209,6,0,34,0,81,0,1,1,30,180.64,0
210,5,0,34,0,93,0,1,1,25,266.895,0
211,8,0,34,0,52,0,1,2,30,88.4,0
